date,Keyword,search_volume,
1/1/22,a,19086,
1/2/22,a,22497,
1/3/22,a,16419,
1/4/22,a,20363,
1/5/22,eyeliner,20125,
1/6/22,eyeliner,23309,
1/7/22,eyeliner,14979,
1/8/22,lipstick,19136,
1/9/22,lipgloss,16932,
1/10/22,eyeshadow,14292,
1/11/22,foundation,17595,
1/12/22,highligher,15979,
1/13/22,eyebrow,14439,
1/14/22,lotion,14752,
1/15/22,facewash,14283,
1/16/22,serum,10811,
1/17/22,eyeliner,17846,
1/18/22,lipstick,10851,
1/19/22,lipgloss,8582,
1/20/22,eyeshadow,15423,
1/21/22,foundation,14241,
1/22/22,highligher,8216,
1/23/22,eyebrow,14146,
1/24/22,lotion,8776,
1/25/22,facewash,16579,
1/26/22,serum,11109,
1/27/22,eyeliner,15753,
1/28/22,lipstick,13640,
1/29/22,lipgloss,8188,
1/30/22,eyeshadow,14354,
1/31/22,foundation,9941,
2/1/22,highligher,23658,
2/2/22,eyebrow,18048,
2/3/22,lotion,14973,
2/4/22,facewash,21976,
2/5/22,serum,23032,
2/6/22,eyeliner,23162,
2/7/22,lipstick,23565,
2/8/22,lipgloss,14436,
2/9/22,eyeshadow,15780,
2/10/22,foundation,15551,
2/11/22,highligher,23396,
2/12/22,eyebrow,15948,
2/13/22,lotion,15808,
2/14/22,facewash,21504,
2/15/22,serum,14861,
2/16/22,eyeliner,11004,
2/17/22,lipstick,12829,
2/18/22,lipgloss,13706,
2/19/22,eyeshadow,9077,
2/20/22,foundation,9606,
2/21/22,highligher,12786,
2/22/22,eyebrow,14627,
2/23/22,lotion,17147,
2/24/22,facewash,10487,
2/25/22,serum,16909,
2/26/22,eyeliner,14139,
2/27/22,lipstick,17820,
2/28/22,lipgloss,9924,
3/1/22,eyeshadow,11220,
3/2/22,foundation,10920,
3/3/22,highligher,14646,
3/4/22,eyebrow,10624,
3/5/22,lotion,15025,
3/6/22,facewash,9624,
3/7/22,serum,16943,
3/8/22,eyeliner,11091,
3/9/22,lipstick,16226,
3/10/22,lipgloss,8116,
3/11/22,eyeshadow,8027,
3/12/22,foundation,9900,
3/13/22,highligher,14928,
3/14/22,eyebrow,15954,
3/15/22,lotion,12800,
3/16/22,facewash,10860,
3/17/22,serum,15179,
3/18/22,eyeliner,16561,
3/19/22,lipstick,11488,
3/20/22,lipgloss,14416,
3/21/22,eyeshadow,12629,
3/22/22,foundation,13344,
3/23/22,highligher,15325,
3/24/22,eyebrow,14770,
3/25/22,lotion,8905,
3/26/22,facewash,10093,
3/27/22,serum,14940,
3/28/22,eyeliner,12881,
3/29/22,lipstick,14890,
3/30/22,lipgloss,8544,
3/31/22,eyeshadow,16894,
4/1/22,foundation,10146,
4/2/22,highligher,11664,
4/3/22,eyebrow,8695,
4/4/22,lotion,9208,
4/5/22,facewash,15848,
4/6/22,serum,16611,
4/7/22,eyeliner,16246,
4/8/22,lipstick,17443,
4/9/22,lipgloss,15251,
4/10/22,eyeshadow,11786,
4/11/22,foundation,9549,
4/12/22,highligher,8529,
4/13/22,eyebrow,13809,
4/14/22,lotion,8988,
4/15/22,facewash,11159,
4/16/22,serum,12249,
4/17/22,eyeliner,14646,
4/18/22,lipstick,13781,
4/19/22,lipgloss,14742,
4/20/22,eyeshadow,10735,
4/21/22,foundation,10029,
4/22/22,highligher,11092,
4/23/22,eyebrow,9423,
4/24/22,lotion,13513,
4/25/22,facewash,8195,
4/26/22,serum,14062,
4/27/22,eyeliner,16059,
4/28/22,lipstick,16848,
4/29/22,lipgloss,14995,
4/30/22,eyeshadow,17426,
5/1/22,foundation,16183,
5/2/22,highligher,8673,
5/3/22,eyebrow,8702,
5/4/22,lotion,11381,
5/5/22,facewash,17094,
5/6/22,serum,11309,
5/7/22,eyeliner,9684,
5/8/22,lipstick,15901,
5/9/22,lipgloss,17282,
5/10/22,eyeshadow,16924,
5/11/22,foundation,12538,
5/12/22,highligher,8140,
5/13/22,eyebrow,8022,
5/14/22,lotion,17643,
5/15/22,facewash,17989,
5/16/22,serum,13750,
5/17/22,eyeliner,13746,
5/18/22,lipstick,8723,
5/19/22,lipgloss,13009,
5/20/22,eyeshadow,18170,
5/21/22,foundation,10798,
5/22/22,highligher,13394,
5/23/22,eyebrow,9978,
5/24/22,lotion,12490,
5/25/22,facewash,17562,
5/26/22,serum,14588,
5/27/22,eyeliner,18027,
5/28/22,lipstick,15845,
5/29/22,lipgloss,11926,
5/30/22,eyeshadow,13038,
5/31/22,foundation,13355,
6/1/22,highligher,19257,
6/2/22,eyebrow,20487,
6/3/22,lotion,22088,
6/4/22,facewash,21580,
6/5/22,serum,23497,
6/6/22,eyeliner,22358,
6/7/22,lipstick,22998,
6/8/22,lipgloss,21210,
6/9/22,eyeshadow,19227,
6/10/22,foundation,17771,
6/11/22,highligher,19804,
6/12/22,eyebrow,20929,
6/13/22,lotion,21218,
6/14/22,facewash,17382,
6/15/22,serum,21813,
6/16/22,eyeliner,15033,
6/17/22,lipstick,22336,
6/18/22,lipgloss,17500,
6/19/22,eyeshadow,14727,
6/20/22,foundation,19729,
6/21/22,highligher,22122,
6/22/22,eyebrow,18883,
6/23/22,lotion,15931,
6/24/22,facewash,22066,
6/25/22,serum,23786,
6/26/22,eyeliner,22339,
6/27/22,lipstick,20314,
6/28/22,lipgloss,16093,
6/29/22,eyeshadow,18300,
6/30/22,foundation,15695,
7/1/22,highligher,16936,
7/2/22,eyebrow,18322,
7/3/22,lotion,21132,
7/4/22,facewash,21804,
7/5/22,serum,17204,
7/6/22,eyeliner,14088,
7/7/22,lipstick,18278,
7/8/22,lipgloss,15275,
7/9/22,eyeshadow,23183,
7/10/22,foundation,17389,
7/11/22,highligher,18270,
7/12/22,eyebrow,15137,
7/13/22,lotion,14048,
7/14/22,facewash,20033,
7/15/22,serum,17138,
7/16/22,eyeliner,15389,
7/17/22,lipstick,17401,
7/18/22,lipgloss,15097,
7/19/22,eyeshadow,17366,
7/20/22,foundation,21962,
7/21/22,highligher,20655,
7/22/22,eyebrow,19492,
7/23/22,lotion,14033,
7/24/22,facewash,16619,
7/25/22,serum,21982,
7/26/22,eyeliner,15855,
7/27/22,lipstick,22641,
7/28/22,lipgloss,15918,
7/29/22,eyeshadow,19657,
7/30/22,foundation,20240,
7/31/22,highligher,20944,
8/1/22,eyebrow,21490,
8/2/22,lotion,17523,
8/3/22,facewash,15218,
8/4/22,serum,22367,
8/5/22,eyeliner,19930,
8/6/22,lipstick,20152,
8/7/22,lipgloss,22954,
8/8/22,eyeshadow,16691,
8/9/22,foundation,17519,
8/10/22,highligher,18462,
8/11/22,eyebrow,14183,
8/12/22,lotion,17438,
8/13/22,facewash,13274,
8/14/22,serum,17071,
8/15/22,eyeliner,19635,
8/16/22,lipstick,12778,
8/17/22,lipgloss,12133,
8/18/22,eyeshadow,9132,
8/19/22,foundation,14746,
8/20/22,highligher,8807,
8/21/22,eyebrow,12801,
8/22/22,lotion,12895,
8/23/22,facewash,14441,
8/24/22,serum,16707,
8/25/22,eyeliner,14221,
8/26/22,lipstick,17318,
8/27/22,lipgloss,14142,
8/28/22,eyeshadow,12437,
8/29/22,foundation,10898,
8/30/22,highligher,8260,
8/31/22,eyebrow,15633,
9/1/22,lotion,11360,
9/2/22,facewash,8570,
9/3/22,serum,16556,
9/4/22,eyeliner,12969,
9/5/22,lipstick,17835,
9/6/22,lipgloss,16065,
9/7/22,eyeshadow,9641,
9/8/22,foundation,9375,
9/9/22,highligher,13491,
9/10/22,eyebrow,11527,
9/11/22,lotion,17840,
9/12/22,facewash,12774,
9/13/22,serum,14046,
9/14/22,eyeliner,12312,
9/15/22,lipstick,8389,
9/16/22,lipgloss,12255,
9/17/22,eyeshadow,17947,
9/18/22,foundation,11814,
9/19/22,highligher,13464,
9/20/22,eyebrow,11672,
9/21/22,lotion,15952,
9/22/22,facewash,11016,
9/23/22,serum,9926,
9/24/22,eyeliner,9215,
9/25/22,lipstick,17364,
9/26/22,lipgloss,11731,
9/27/22,eyeshadow,13883,
9/28/22,foundation,16481,
9/29/22,highligher,17470,
9/30/22,eyebrow,9481,
10/1/22,lotion,15174,
10/2/22,facewash,9935,
10/3/22,serum,9179,
10/4/22,eyeliner,13130,
10/5/22,lipstick,13042,
10/6/22,lipgloss,12666,
10/7/22,eyeshadow,12253,
10/8/22,foundation,8460,
10/9/22,highligher,17618,
10/10/22,eyebrow,14024,
10/11/22,lotion,14891,
10/12/22,facewash,14971,
10/13/22,serum,14505,
10/14/22,eyeliner,17100,
10/15/22,lipstick,17010,
10/16/22,lipgloss,13998,
10/17/22,eyeshadow,17699,
10/18/22,foundation,8402,
10/19/22,highligher,13126,
10/20/22,eyebrow,10677,
10/21/22,lotion,9154,
10/22/22,facewash,10748,
10/23/22,serum,14289,
10/24/22,eyeliner,8422,
10/25/22,lipstick,10488,
10/26/22,lipgloss,13864,
10/27/22,eyeshadow,9201,
10/28/22,foundation,10742,
10/29/22,highligher,16062,
10/30/22,eyebrow,11998,
10/31/22,lotion,11577,
11/1/22,facewash,9709,
11/2/22,serum,17246,
11/3/22,eyeliner,16741,
11/4/22,lipstick,11665,
11/5/22,lipgloss,16263,
11/6/22,eyeshadow,14274,
11/7/22,foundation,17607,
11/8/22,highligher,10965,
11/9/22,eyebrow,13777,
11/10/22,lotion,14380,
11/11/22,facewash,21700,
11/12/22,serum,21650,
11/13/22,eyeliner,22930,
11/14/22,lipstick,20187,
11/15/22,lipgloss,18678,
11/16/22,eyeshadow,17726,
11/17/22,foundation,18708,
11/18/22,highligher,19271,
11/19/22,eyebrow,14142,
11/20/22,lotion,23766,
11/21/22,facewash,16912,
11/22/22,serum,20849,
11/23/22,eyeliner,19040,
11/24/22,lipstick,21740,
11/25/22,lipgloss,12010,
11/26/22,eyeshadow,14745,
11/27/22,foundation,12984,
11/28/22,highligher,12993,
11/29/22,eyebrow,14039,
11/30/22,lotion,11821,
12/1/22,facewash,16827,
12/2/22,serum,8698,
12/3/22,eyeliner,13874,
12/4/22,lipstick,17616,
12/5/22,lipgloss,15490,
12/6/22,eyeshadow,14280,
12/7/22,foundation,15784,
12/8/22,highligher,17417,
12/9/22,eyebrow,8142,
12/10/22,lotion,17572,
12/11/22,facewash,11800,
12/12/22,serum,11287,
12/13/22,eyeliner,15195,
12/14/22,lipstick,11161,
12/15/22,lipgloss,8801,
12/16/22,eyeshadow,14418,
12/17/22,foundation,15430,
12/18/22,highligher,18041,
12/19/22,eyebrow,21701,
12/20/22,lotion,15928,
12/21/22,facewash,20166,
12/22/22,serum,23031,
12/23/22,eyeliner,16047,
12/24/22,lipstick,14278,
12/25/22,lipgloss,17182,
12/26/22,eyeshadow,17489,
12/27/22,foundation,15313,
12/28/22,highligher,15090,
12/29/22,eyebrow,14116,
12/30/22,lotion,20547,
12/31/22,facewash,23317,
